,city,state,count,population,lat,lng,per_capita
33207,SANTA MONICA,CA,70,92168.0,34.0235,-118.481,0.0007594826837948095
33277,REDMOND,WA,69,73728.0,47.6763,-122.1169,0.0009358723958333334
33346,HARRISBURG,PA,69,498329.0,40.2752,-76.8843,0.00013846274248538617
33415,WORCESTER,MA,69,486486.0,42.2705,-71.8079,0.0001418334751668085
33553,LAWRENCEVILLE,GA,69,30465.0,33.9523,-83.9932,0.0022648941408173313
33622,HELENA,MT,68,32529.0,46.5965,-112.0202,0.002090442374496603
33690,CHESAPEAKE,VA,68,249377.0,36.6778,-76.3023,0.00027267951735725427
33758,GREEN BAY,WI,68,225633.0,44.5148,-87.9895,0.0003013743557015153
33826,WHITTIER,CA,68,86459.0,33.9678,-118.0188,0.0007864999595183844
33894,BATON ROUGE,LA,68,635671.0,30.442,-91.1311,0.00010697357595359864
33962,KATY,TX,67,22826.0,29.7905,-95.8353,0.0029352492771401034
34029,SPRINGFIELD,OR,67,61740.0,44.0538,-122.9811,0.0010851959831551668
34096,LANSING,MI,67,322561.0,42.7142,-84.5601,0.00020771264970036675
34229,ALBANY,OR,66,56348.0,44.6272,-123.0965,0.0011712926811954284
34295,AKRON,OH,66,541945.0,41.0798,-81.5219,0.00012178357582411499
34361,BUCKEYE,AZ,66,95042.0,33.4314,-112.6429,0.0006944298310220745
34427,PLANO,TX,66,284948.0,33.0502,-96.7486,0.00023162120808007075
34493,SIMI VALLEY,CA,65,127568.0,34.2663,-118.749,0.0005095321710773861
34558,SANTA ANA,CA,65,311379.0,33.7367,-117.8819,0.000208748823780666
34623,YORK,PA,64,247176.0,39.9651,-76.7315,0.00025892481470692947
34751,FREDERICKSBURG,VA,64,176791.0,38.2992,-77.4872,0.0003620093783054567
34815,GRANTS PASS,OR,64,39131.0,42.4333,-123.3317,0.0016355319312054382
34879,DULUTH,MN,64,118574.0,46.7756,-92.1393,0.0005397473307807782
34943,PRESCOTT VALLEY,AZ,63,93923.0,34.598,-112.3185,0.0006707622201164784
35006,INDEPENDENCE,MO,63,122218.0,39.0871,-94.3501,0.0005154723526812745
35069,FEDERAL WAY,WA,63,99614.0,47.3091,-122.3358,0.000632441223121248
35132,ARVADA,CO,63,123066.0,39.832,-105.151,0.0005119204329384233
35195,PALMDALE,CA,63,166895.0,34.5944,-118.1057,0.00037748284849755835
35258,LANCASTER,PA,63,402476.0,40.042,-76.3012,0.00015653107266023315
35321,NORWALK,CT,63,91050.0,41.1144,-73.4215,0.0006919275123558485
35384,OCEANSIDE,CA,62,173722.0,33.2247,-117.3083,0.0003568920459124348
35446,CHATTANOOGA,TN,62,406849.0,35.066,-85.2481,0.00015239069040356496
35508,ROANOKE,VA,62,218533.0,37.2785,-79.9581,0.0002837100117602376
35570,NEW PORT RICHEY,FL,62,16742.0,28.2468,-82.717,0.003703261259108828
35632,GRESHAM,OR,62,113525.0,45.5021,-122.4413,0.0005461352125082581
35694,LARGO,FL,62,82541.0,27.9088,-82.7712,0.0007511418567742092
35756,CUMMING,GA,62,7371.0,34.2063,-84.1339,0.008411341744675078
35818,PASADENA,CA,61,137554.0,34.1597,-118.139,0.0004434622039344548
35879,SOUTH BEND,IN,61,278061.0,41.6767,-86.2696,0.0002193763239001514
35940,GREAT FALLS,MT,61,67300.0,47.5022,-111.2996,0.0009063893016344726
36001,KINGMAN,AZ,61,33052.0,35.217,-114.0105,0.0018455766670700713
36062,LUBBOCK,TX,61,280890.0,33.5657,-101.8879,0.00021716686247285415
36123,TERRE HAUTE,IN,61,80567.0,39.466,-87.3751,0.0007571338140926185
36184,FLINT,MI,61,293893.0,43.0236,-83.6921,0.00020755853320766402
36245,NAPA,CA,61,84703.0,38.2975,-122.301,0.0007201633944488388
36306,NORFOLK,VA,61,236973.0,36.8945,-76.259,0.00025741329180961544
36367,SPRINGFIELD,IL,60,159671.0,39.7709,-89.654,0.00037577268257855213
36427,PRESCOTT,AZ,60,46054.0,34.5849,-112.4473,0.001302818430538064
36487,FAIRFIELD,CA,60,149635.0,38.2583,-122.0335,0.0004009757075550506
36547,ANN ARBOR,MI,60,308983.0,42.2759,-83.731,0.0001941854406229469
36607,ISSAQUAH,WA,60,39400.0,47.5439,-122.0471,0.0015228426395939086
36727,HILLSBORO,OR,60,106612.0,45.5273,-122.936,0.0005627884290698984
36787,ARLINGTON,WA,60,20263.0,48.1701,-122.1442,0.0029610620342496174
36847,FLAGSTAFF,AZ,59,80167.0,35.1872,-111.6194,0.0007359636758267117
36906,OGDEN,UT,59,622918.0,41.2279,-111.9682,9.47155163279918e-05
36965,NASHUA,NH,59,245209.0,42.7491,-71.491,0.00024061107055613781
37024,CORAL SPRINGS,FL,59,133801.0,26.2702,-80.2591,0.0004409533561034671
37083,MERIDIAN,ID,58,119872.0,43.6116,-116.3977,0.0004838494394020288
37199,ROSWELL,NM,58,48035.0,33.373,-104.5294,0.001207452898927865
37257,SNOHOMISH,WA,58,10133.0,47.9276,-122.0969,0.005723872495805783
37315,PORT CHARLOTTE,FL,58,63913.0,26.9918,-82.114,0.0009074836105330684
37373,PANAMA CITY BEACH,FL,58,18281.0,30.237,-85.8776,0.003172692959903725
37431,WILMINGTON,DE,58,71034.0,39.7415,-75.5416,0.0008165104034687614
37489,DAYTONA BEACH,FL,57,73329.0,29.1995,-81.0982,0.0007773186597389846
37546,PALM DESERT,CA,57,51290.0,33.7378,-116.3695,0.001111327744199649
37603,FONTANA,CA,57,209279.0,34.0968,-117.4599,0.0002723636867530904
37660,MANCHESTER,NH,57,169097.0,42.9848,-71.4447,0.0003370846318976682
37717,MARYSVILLE,WA,57,162664.0,48.0809,-122.1561,0.00035041558058328823
37774,BOWLING GREEN,KY,56,99669.0,36.9716,-86.4378,0.0005618597557916704
37830,GARDEN GROVE,CA,56,171637.0,33.7787,-117.9601,0.00032626997675326417
37886,FORT SMITH,AR,56,126452.0,35.3495,-94.3695,0.0004428557871761617
37942,ROUND ROCK,TX,56,120465.0,30.527,-97.6642,0.00046486531357655753
37998,KANSAS CITY,KS,55,155438.0,39.1235,-94.7443,0.00035383882962982023
38053,GREENVILLE,SC,55,401443.0,34.8354,-82.3646,0.00013700575175055985
38108,TORRANCE,CA,55,145454.0,33.8346,-118.3416,0.0003781264179740674
38218,SALINAS,CA,54,177410.0,36.6883,-121.6317,0.000304379685474325
38272,CANTON,OH,54,294047.0,40.8078,-81.3676,0.00018364411131553798
38326,AMARILLO,TX,54,205903.0,35.1984,-101.8316,0.000262259413413112
38380,OLATHE,KS,54,142114.0,38.8833,-94.82,0.0003799766384733383
38434,DELRAY BEACH,FL,54,66646.0,26.455,-80.0905,0.0008102511778651382
38488,FRANKLIN,TN,54,83630.0,35.92,-86.8516,0.0006457013033600383
38542,IDAHO FALLS,ID,54,108544.0,43.4871,-112.0362,0.0004974941037735849
38596,LAWRENCE,KS,54,96061.0,38.9597,-95.2642,0.0005621428050925974
38650,KISSIMMEE,FL,54,431618.0,28.3041,-81.4169,0.0001251106302332155
38704,LANCASTER,CA,54,171465.0,34.6935,-118.1753,0.00031493307672119677
38758,SPOKANE VALLEY,WA,53,103761.0,47.6626,-117.2346,0.0005107892175287439
38811,OCEAN CITY,MD,53,6879.0,38.3998,-75.0715,0.007704608227940108
38864,COLUMBUS,GA,53,264282.0,32.51,-84.8771,0.00020054335898774794
38917,FAIRFAX,VA,53,24242.0,38.8531,-77.2997,0.0021862882600445508
38970,DAVIE,FL,53,105821.0,26.0789,-80.287,0.0005008457678532616
39023,PROVIDENCE,RI,52,1290271.0,41.823,-71.4187,4.0301611056902e-05
39075,CLOVIS,CA,52,120607.0,36.8278,-119.683,0.0004311524206721003
39127,SANFORD,FL,52,61272.0,28.7891,-81.2757,0.00084867476171824
39179,VACAVILLE,CA,52,101631.0,38.3587,-121.9673,0.0005116549084432899
39231,OVERLAND PARK,KS,52,196676.0,38.887,-94.687,0.0002643942321381358
39283,SPRING HILL,FL,52,178833.0,28.4798,-82.53,0.0002907740741362053
39335,OAK LAWN,IL,52,57665.0,41.7139,-87.7528,0.0009017601664788
39387,TWIN FALLS,ID,52,52315.0,42.5645,-114.4613,0.0009939787823759916
39439,SPRINGFIELD,MA,52,437752.0,42.1155,-72.5395,0.00011878872055410369
39491,SANDY,UT,52,95635.0,40.5709,-111.8506,0.000543733988602499
39543,VISALIA,CA,52,163681.0,36.3276,-119.3269,0.00031769111870039895
39595,NORMAN,OK,51,127701.0,35.2335,-97.3471,0.0003993704043038034
39646,ANNAPOLIS,MD,51,40719.0,38.9706,-76.5047,0.0012524865541884624
39697,MERIDEN,CT,51,60556.0,41.5369,-72.7946,0.0008421956536098817
39748,EDMOND,OK,51,94503.0,35.6689,-97.416,0.0005396654074473826
39799,WARWICK,RI,51,82783.0,41.7062,-71.4334,0.0006160685164828528
39850,RIO RANCHO,NM,51,104351.0,35.2873,-106.6982,0.0004887351343063315
39901,KALAMAZOO,MI,51,200838.0,42.2749,-85.5882,0.00025393600812595224
39952,FREMONT,CA,51,228795.0,37.5265,-121.9843,0.00022290696912082868
40003,APACHE JUNCTION,AZ,51,38855.0,33.3985,-111.535,0.0013125723845064986
40054,CASA GRANDE,AZ,51,55186.0,32.9069,-111.7624,0.0009241474286956837
40105,KALISPELL,MT,51,25473.0,48.2153,-114.3274,0.0020021198916499823
40156,RANCHO CUCAMONGA,CA,51,174696.0,34.1247,-117.5667,0.0002919357054540459
40207,QUEEN CREEK,AZ,51,61788.0,33.2454,-111.6173,0.000825402990872014
40258,AUGUSTA,GA,51,437257.0,33.3645,-82.0708,0.00011663621165584542
40309,LACEY,WA,50,56263.0,47.0462,-122.7933,0.000888683504256794
40359,WINSTON-SALEM,NC,50,427706.0,36.1029,-80.261,0.00011690273225065817
40409,ORANGE,CA,50,138728.0,33.8038,-117.8218,0.00036041750764085115
40459,BOYNTON BEACH,FL,50,80068.0,26.5281,-80.0811,0.0006244692011789978
40509,CHEYENNE,WY,50,78204.0,41.135,-104.7902,0.0006393534857552043
40559,WATERBURY,CT,50,202422.0,41.5582,-73.0361,0.00024700872434814397
40609,RAPID CITY,SD,50,87826.0,44.0716,-103.2204,0.0005693074943638559
40659,ORLAND PARK,IL,50,58345.0,41.6075,-87.8619,0.0008569714628502871
40709,JOHNSON CITY,TN,50,131718.0,36.3406,-82.3806,0.00037959883994594513
40759,JUPITER,FL,50,60926.0,26.92,-80.1128,0.0008206676952368447
40809,LAKESIDE,CA,50,21759.0,32.856,-116.904,0.0022978997196562343
40810,LAKESIDE,CA,50,1405.0,35.2347,-119.0829,0.03558718861209965
40859,PORT ORCHARD,WA,49,15820.0,47.5163,-122.661,0.003097345132743363
